"","cccn","restrictions","productcode","sic","sic_label","id","year","import","tariff","qr","hci","chemicals","patroleum","primary_metal","mfg_metal","machines","electric_eq","transport_eq"
"166",1206,"111111",100,139,"Field crops, except cash grains, nspf",21,80,"0.5",40,1,0,0,0,0,0,0,0,0
"167",1207,"000000",201,139,"Field crops, except cash grains, nspf",22,80,"7.5",20,0,0,0,0,0,0,0,0,0
"168",1208,"111111",100,139,"Field crops, except cash grains, nspf",23,80,"0.5",40,1,0,0,0,0,0,0,0,0
"169",1209,"000000",108,139,"Field crops, except cash grains, nspf",24,80,"0",20,0,0,0,0,0,0,0,0,0
"170",1210,"000000",108,139,"Field crops, except cash grains, nspf",25,80,"0",20,0,0,0,0,0,0,0,0,0
"171",1403,"000000",201,139,"Field crops, except cash grains, nspf",26,80,"0.2",20,0,0,0,0,0,0,0,0,0
"172",1405,"111111",201,139,"Field crops, except cash grains, nspf",27,80,"0.5",20,1,0,0,0,0,0,0,0,0
"173",5401,"100000",209,139,"Field crops, except cash grains, nspf",28,80,"0.8",10,0,0,0,0,0,0,0,0,0
"174",5701,"000000",209,139,"Field crops, except cash grains, nspf",29,80,"0",10,0,0,0,0,0,0,0,0,0
"175",5702,"000000",209,139,"Field crops, except cash grains, nspf",30,80,"1",10,0,0,0,0,0,0,0,0,0
"176",5703,"000000",209,139,"Field crops, except cash grains, nspf",31,80,"0.4",10,0,0,0,0,0,0,0,0,0
"177",5704,"000000",209,139,"Field crops, except cash grains, nspf",32,80,"1",10,0,0,0,0,0,0,0,0,0
"178",706,"001111",100,139,"Field crops, except cash grains, nspf",18,82,"9.8",40,1,0,0,0,0,0,0,0,0
"179",1201,"111111",110,139,"Field crops, except cash grains, nspf",19,82,"175.3",20,1,0,0,0,0,0,0,0,0
"180",1203,"111111",201,139,"Field crops, except cash grains, nspf",20,82,"3.7",0,1,0,0,0,0,0,0,0,0
"181",1206,"111111",100,139,"Field crops, except cash grains, nspf",21,82,"0.7",40,1,0,0,0,0,0,0,0,0
"182",1207,"000000",201,139,"Field crops, except cash grains, nspf",22,82,"9.3",20,0,0,0,0,0,0,0,0,0
"183",1208,"111111",100,139,"Field crops, except cash grains, nspf",23,82,"0.5",40,1,0,0,0,0,0,0,0,0
"184",1209,"000000",108,139,"Field crops, except cash grains, nspf",24,82,"0",20,0,0,0,0,0,0,0,0,0
"185",1210,"000000",108,139,"Field crops, except cash grains, nspf",25,82,"0",20,0,0,0,0,0,0,0,0,0
"186",1403,"000000",201,139,"Field crops, except cash grains, nspf",26,82,"0.2",20,0,0,0,0,0,0,0,0,0
"187",1405,"111111",201,139,"Field crops, except cash grains, nspf",27,82,"0.5",20,1,0,0,0,0,0,0,0,0
"188",5401,"100000",209,139,"Field crops, except cash grains, nspf",28,82,"1.3",10,0,0,0,0,0,0,0,0,0
"189",5701,"000000",209,139,"Field crops, except cash grains, nspf",29,82,"0",10,0,0,0,0,0,0,0,0,0
"190",5702,"000000",209,139,"Field crops, except cash grains, nspf",30,82,"0.9",10,0,0,0,0,0,0,0,0,0
"191",5703,"000000",209,139,"Field crops, except cash grains, nspf",31,82,"0.4",10,0,0,0,0,0,0,0,0,0
"192",5704,"000000",209,139,"Field crops, except cash grains, nspf",32,82,"0.9",10,0,0,0,0,0,0,0,0,0
"193",701,"011111",100,161,"Vegetables & melons",33,68,"0",40,0,0,0,0,0,0,0,0,0
"194",809,"333111",100,161,"Vegetables & melons",34,68,"0",60,3,0,0,0,0,0,0,0,0
"195",701,"011111",100,161,"Vegetables & melons",33,74,"0",40,1,0,0,0,0,0,0,0,0
"196",809,"333111",100,161,"Vegetables & melons",34,74,"0",60,3,0,0,0,0,0,0,0,0
"197",701,"011111",100,161,"Vegetables & melons",33,76,"0",40,1,0,0,0,0,0,0,0,0
"198",809,"333111",100,161,"Vegetables & melons",34,76,"0",60,3,0,0,0,0,0,0,0,0
"199",701,"011111",100,161,"Vegetables & melons",33,78,"12.3",30,1,0,0,0,0,0,0,0,0
"200",809,"333111",100,161,"Vegetables & melons",34,78,"0",40,1,0,0,0,0,0,0,0,0
"201",701,"011111",100,161,"Vegetables & melons",33,80,"0.6",30,1,0,0,0,0,0,0,0,0
"202",809,"333111",100,161,"Vegetables & melons",34,80,"0",40,1,0,0,0,0,0,0,0,0
"203",701,"011111",100,161,"Vegetables & melons",33,82,"3.4",30,1,0,0,0,0,0,0,0,0
"204",809,"333111",100,161,"Vegetables & melons",34,82,"0",40,1,0,0,0,0,0,0,0,0
"205",808,"111111",100,171,"Berry crops",35,68,"0",25,1,0,0,0,0,0,0,0,0
"206",809,"333111",100,171,"Berry crops",36,68,"0",60,3,0,0,0,0,0,0,0,0
"207",808,"111111",100,171,"Berry crops",35,74,"0",30,1,0,0,0,0,0,0,0,0
"208",809,"333111",100,171,"Berry crops",36,74,"0",60,3,0,0,0,0,0,0,0,0
"209",808,"111111",100,171,"Berry crops",35,76,"0",30,1,0,0,0,0,0,0,0,0
"210",809,"333111",100,171,"Berry crops",36,76,"0",60,3,0,0,0,0,0,0,0,0
"211",808,"111111",100,171,"Berry crops",35,78,"0",40,1,0,0,0,0,0,0,0,0
"212",809,"333111",100,171,"Berry crops",36,78,"0",40,1,0,0,0,0,0,0,0,0
"213",808,"111111",100,171,"Berry crops",35,80,"0",40,1,0,0,0,0,0,0,0,0
"214",809,"333111",100,171,"Berry crops",36,80,"0",40,1,0,0,0,0,0,0,0,0
"215",808,"111111",100,171,"Berry crops",35,82,"0",40,1,0,0,0,0,0,0,0,0
"216",809,"333111",100,171,"Berry crops",36,82,"0",40,1,0,0,0,0,0,0,0,0
"217",804,"333133",100,172,"Grapes",37,68,"0",43,3,0,0,0,0,0,0,0,0
"218",804,"333133",100,172,"Grapes",37,74,"0.2",45,3,0,0,0,0,0,0,0,0
"219",804,"333133",100,172,"Grapes",37,76,"0.3",45,3,0,0,0,0,0,0,0,0
"220",804,"333133",100,172,"Grapes",37,78,"0.5",40,1,0,0,0,0,0,0,0,0
"221",804,"333133",100,172,"Grapes",37,80,"1.4",50,3,0,0,0,0,0,0,0,0
"222",804,"333133",100,172,"Grapes",37,82,"5.5",50,3,0,0,0,0,0,0,0,0
"223",801,"333333",100,173,"Tree nuts",38,68,"0.3",60,3,0,0,0,0,0,0,0,0
"224",805,"111111",100,173,"Tree nuts",39,68,"0",43,1,0,0,0,0,0,0,0,0
"225",1201,"111111",110,173,"Tree nuts",40,68,"1.7",40,1,0,0,0,0,0,0,0,0
"226",1801,"001120",100,173,"Tree nuts",41,68,"0",20,0,0,0,0,0,0,0,0,0
"227",1802,"000000",108,173,"Tree nuts",42,68,"0",20,0,0,0,0,0,0,0,0,0
"228",5704,"000000",209,173,"Tree nuts",43,68,"0.2",15,0,0,0,0,0,0,0,0,0
"229",801,"333333",100,173,"Tree nuts",38,74,"1.6",60,3,0,0,0,0,0,0,0,0
"230",805,"111111",100,173,"Tree nuts",39,74,"0",45,1,0,0,0,0,0,0,0,0
"231",1201,"111111",110,173,"Tree nuts",40,74,"19.3",40,1,0,0,0,0,0,0,0,0
"232",1801,"001120",100,173,"Tree nuts",41,74,"0.6",20,0,0,0,0,0,0,0,0,0
"233",1802,"000000",108,173,"Tree nuts",42,74,"0",20,0,0,0,0,0,0,0,0,0
"234",5704,"000000",209,173,"Tree nuts",43,74,"0.7",15,0,0,0,0,0,0,0,0,0
"235",801,"333333",100,173,"Tree nuts",38,76,"1.4",60,3,0,0,0,0,0,0,0,0
"236",805,"111111",100,173,"Tree nuts",39,76,"0",45,1,0,0,0,0,0,0,0,0
"237",1201,"111111",110,173,"Tree nuts",40,76,"45.2",35,1,0,0,0,0,0,0,0,0
"238",1801,"001120",100,173,"Tree nuts",41,76,"1.1",40,1,0,0,0,0,0,0,0,0
"239",1802,"000000",108,173,"Tree nuts",42,76,"0",40,0,0,0,0,0,0,0,0,0
"240",5704,"000000",209,173,"Tree nuts",43,76,"0.6",15,0,0,0,0,0,0,0,0,0
"241",801,"333333",100,173,"Tree nuts",38,78,"2.8",60,3,0,0,0,0,0,0,0,0
"242",805,"111111",100,173,"Tree nuts",39,78,"0",40,1,0,0,0,0,0,0,0,0
"243",1201,"111111",110,173,"Tree nuts",40,78,"77.8",30,1,0,0,0,0,0,0,0,0
"244",1801,"001120",100,173,"Tree nuts",41,78,"4.2",40,1,0,0,0,0,0,0,0,0
"245",1802,"000000",108,173,"Tree nuts",42,78,"0",40,0,0,0,0,0,0,0,0,0
"246",5704,"000000",209,173,"Tree nuts",43,78,"0.8",20,0,0,0,0,0,0,0,0,0
"247",801,"333333",100,173,"Tree nuts",38,80,"5.5",60,3,0,0,0,0,0,0,0,0
"248",805,"111111",100,173,"Tree nuts",39,80,"0.1",40,1,0,0,0,0,0,0,0,0
"249",1201,"111111",110,173,"Tree nuts",40,80,"197.5",20,1,0,0,0,0,0,0,0,0
"250",1801,"001120",100,173,"Tree nuts",41,80,"5.8",60,2,0,0,0,0,0,0,0,0
