id	code	year	hci	rca_core	export_sh	import_sh	rca_dummy
535	0535	1966	0	.0057268	.0004252	.0064928	0
535	0535	1967	0	.0000107	9.38e-07	.0109312	0
535	0535	1968	0	2.38e-06	2.20e-07	.0089322	0
535	0535	1969	0	.0506276	.0043155	.0123355	0
535	0535	1970	0	.0000303	2.76e-06	.020235	0
535	0535	1971	0	8.08e-07	9.37e-08	.0101122	0
535	0535	1972	0	.0047646	.000553	.0057887	0
536	0536	1965	0	.0056288	.0001704	.0027514	0
536	0536	1966	0	.0473529	.0030964	.0032218	0
536	0536	1967	0	.0084435	.0004882	.0043201	0
536	0536	1968	0	.0000505	2.86e-06	.0016722	0
536	0536	1969	0	.0008843	.0000526	.002035	0
536	0536	1970	0	0	0	.0020371	0
536	0536	1971	0	8.88e-06	4.69e-07	.0027174	0
536	0536	1972	0	.009919	.0005068	.0007284	0
539	0539	1965	0	.0062471	.0012067	.035588	0
539	0539	1966	0	.0899285	.0186542	.0055038	0
539	0539	1967	0	.0357464	.007126	.0117191	0
539	0539	1968	0	.0665733	.012084	.009088	0
539	0539	1969	0	.0938715	.0162945	.0097368	0
539	0539	1970	0	.1749553	.0276478	.0149407	0
539	0539	1971	0	.0562668	.0089169	.0215044	0
539	0539	1972	0	.0593131	.0093294	.0276538	0
541	0541	1965	0	0	0	.0029232	0
541	0541	1966	0	0	0	.0054192	0
541	0541	1967	0	0	0	9.74e-06	0
541	0541	1968	0	0	0	.0002523	0
541	0541	1969	0	1.65e-06	1.61e-07	5.49e-08	0
541	0541	1970	0	2.38e-06	2.40e-07	.0000826	0
541	0541	1971	0	0	0	3.35e-06	0
541	0541	1972	0	.0184677	.0016528	.0000233	0
542	0542	1965	0	4.932474	.6378183	.0069675	1
542	0542	1966	0	2.130642	.3059725	.0002754	1
542	0542	1967	0	.5047515	.0665629	.0002019	0
542	0542	1968	0	.0163962	.0018782	.0023179	0
542	0542	1969	0	.2462606	.0276385	.0008715	0
542	0542	1970	0	.2097477	.0209251	.0001009	0
542	0542	1971	0	3.766222	.3065707	.0000637	1
542	0542	1972	0	.2343465	.0244729	.0001362	0
544	0544	1965	0	0	0	3.34e-06	0
544	0544	1966	0	0	0	.0000311	0
544	0544	1967	0	0	0	0	0
544	0544	1968	0	0	0	5.39e-06	0
544	0544	1969	0	0	0	0	0
544	0544	1970	0	0	0	0	0
544	0544	1971	0	.0004498	.0000672	0	0
544	0544	1972	0	4.66e-07	6.16e-08	1.19e-07	0
545	0545	1965	0	.0063798	.0017208	.0000461	0
545	0545	1966	0	.0006823	.0001753	.0004794	0
545	0545	1967	0	.0115389	.0031601	.0000477	0
545	0545	1968	0	.0681502	.0170861	.0000228	0
545	0545	1969	0	.0638514	.0164437	.000058	0
545	0545	1970	0	.0652728	.0158901	.0000252	0
545	0545	1971	0	.0025088	.000621	.0035567	0
545	0545	1972	0	.3741198	.0902646	.0001598	0
546	0546	1965	0	.0579457	.0022166	0	0
546	0546	1966	0	.0253684	.0007565	.0000832	0
546	0546	1967	0	.4823748	.0163698	.000028	0
546	0546	1968	0	.3537956	.0107069	4.02e-06	0
546	0546	1969	0	.7678517	.0223192	2.58e-06	0
546	0546	1970	0	.5110863	.0143913	.000068	0
546	0546	1971	0	1.371628	.0345103	.000086	1
546	0546	1972	0	.4879818	.0142007	.0000188	0
548	0548	1965	0	26.60628	2.166374	.0419657	1
548	0548	1966	0	21.56411	3.374943	.0219124	1
548	0548	1967	0	27.23891	2.192238	.03266	1
548	0548	1968	0	32.31039	3.084014	.0117554	1
548	0548	1969	0	28.15286	2.095618	.0159045	1
548	0548	1970	0	23.46134	1.685373	.0192068	1
548	0548	1971	0	12.39971	.8741576	.0186035	1
548	0548	1972	0	3.871948	.2836321	.0368486	1
551	0551	1965	0	4.927892	.1759715	.0001066	1
551	0551	1966	0	6.267976	.1745698	.0004728	1
551	0551	1967	0	5.883102	.1728619	.0001949	1
551	0551	1968	0	2.666861	.0921701	.0001008	1
551	0551	1969	0	4.65022	.1346284	.0001459	1
551	0551	1970	0	4.390973	.1557731	3.13e-06	1
551	0551	1971	0	4.459	.1195672	.0000121	1
551	0551	1972	0	2.060652	.0739119	.0001033	1
554	0554	1965	0	.0199164	.000298	.0004732	0
554	0554	1966	0	.0070722	.0001737	.0007144	0
554	0554	1967	0	.0000152	3.13e-07	.0007335	0
554	0554	1968	0	.0019122	.0000341	.0022805	0
554	0554	1969	0	.0010683	.0000159	.0054554	0
554	0554	1970	0	.0020986	.0000284	.0028055	0
554	0554	1971	0	.0117357	.0001406	.0010026	0
554	0554	1972	0	.0043157	.0000478	.000364	0
555	0555	1965	0	.0627224	.0097249	.0047335	0
555	0555	1966	0	.6711397	.1233572	.0033626	0
555	0555	1967	0	.9816578	.1934358	.0014715	0
555	0555	1968	0	.492401	.0963016	.0012638	0
555	0555	1969	0	.8908344	.1716495	.0013321	0
555	0555	1970	0	1.705118	.3246594	.0016991	1
555	0555	1971	0	2.570401	.5390183	.0028118	1
555	0555	1972	0	2.583292	.5607089	.0036046	1
611	0611	1965	0	.0597821	.0208166	.7694874	0
611	0611	1966	0	.0207087	.0089355	.7385108	0
611	0611	1967	0	.1093835	.0423932	.900405	0
611	0611	1968	0	.0000279	9.23e-06	.6933337	0
611	0611	1969	0	.0027538	.000937	.9585676	0
611	0611	1970	0	.0202422	.0074875	1.185236	0
611	0611	1971	0	6.38e-07	1.87e-07	1.299457	0
611	0611	1972	0	.0586458	.0254881	1.446992	0
612	0612	1965	0	.7730119	.4108358	.005605	0
612	0612	1966	0	.5607631	.2791842	.0033146	0
612	0612	1967	0	.4548038	.1969784	.0062441	0
612	0612	1968	0	.1141682	.046581	.0135109	0
612	0612	1969	0	.0783188	.029433	.000293	0
612	0612	1970	0	.1950559	.070543	.0017957	0
612	0612	1971	0	.1227145	.0471885	.0005885	0
612	0612	1972	0	.1751706	.0729101	.0002665	0
615	0615	1965	0	0	0	.1135278	0
615	0615	1966	0	.0000326	2.01e-06	.0952302	0
615	0615	1967	0	0	0	.0594749	0
615	0615	1968	0	0	0	.0857581	0
615	0615	1969	0	.0000369	1.77e-06	.1844544	0
615	0615	1970	0	0	0	.2413323	0
615	0615	1971	0	.4005083	.0205408	.2703539	0
615	0615	1972	0	0	0	.2250933	0
616	0616	1965	0	0	0	6.67e-07	0
616	0616	1966	0	.0002182	4.01e-06	2.31e-06	0
616	0616	1967	0	0	0	.0001433	0
616	0616	1968	0	0	0	.0000138	0
616	0616	1969	0	.0000341	4.82e-07	.0000284	0
616	0616	1970	0	.0002115	2.76e-06	.000226	0
616	0616	1971	0	0	0	.0003898	0
616	0616	1972	0	0	0	.0005945	0
619	0619	1965	0	0	0	.0001557	0
619	0619	1966	0	0	0	.0019672	0
619	0619	1967	0	.0001081	3.13e-06	.0017961	0
619	0619	1968	0	3.619415	.1306162	.04276	1
619	0619	1969	0	1.514382	.050535	.0196618	1
619	0619	1970	0	2.120791	.0604056	.0217431	1
619	0619	1971	0	.0003596	7.50e-06	.0260163	0
619	0619	1972	0	.1858047	.004553	.0226523	0
620	0620	1965	0	.1200033	.0079035	.001959	0
620	0620	1966	0	.0000225	1.20e-06	.0079117	0
620	0620	1967	0	.0002507	.000015	.0036757	0
620	0620	1968	0	.0000964	5.93e-06	.0043563	0
620	0620	1969	0	1.538605	.0834484	.0128915	1
620	0620	1970	0	.6383162	.0373487	.0071255	0
620	0620	1971	0	.2467623	.0162443	.0107855	0
620	0620	1972	0	.4313802	.0277598	.0133122	0
711	0711	1965	1	.0035866	.0058327	.0294486	0
711	0711	1966	1	0	0	.0105398	0
711	0711	1967	1	7.73e-07	9.38e-07	.0104138	0
711	0711	1968	1	0	0	.0034145	0
711	0711	1969	1	.0449473	.0453206	.0141338	0
711	0711	1970	1	.0006711	.0007305	.0245456	0
711	0711	1971	1	.000435	.0004403	.0460209	0
711	0711	1972	1	0	0	.0762649	0
713	0713	1965	0	0	0	.0052835	0
713	0713	1966	0	0	0	.001297	0
713	0713	1967	0	.0267074	.0010245	.0072759	0
713	0713	1968	0	0	0	.0074153	0
713	0713	1969	0	.009856	.0005029	.0187489	0
713	0713	1970	0	2.12e-06	1.20e-07	.0304884	0
713	0713	1971	0	0	0	.0296059	0
713	0713	1972	0	.025353	.0015046	.0455043	0
721	0721	1965	0	0	0	0	0
721	0721	1966	0	0	0	0	0
721	0721	1967	0	0	0	.0000115	0
721	0721	1968	0	0	0	1.36e-06	0
721	0721	1969	0	0	0	.0092371	0
721	0721	1970	0	0	0	.0234927	0
721	0721	1971	0	0	0	.0193544	0
721	0721	1972	0	0	0	.0110333	0
722	0722	1965	1	0	0	.0011226	0
722	0722	1966	1	0	0	.0001181	0
722	0722	1967	1	.0000554	6.25e-07	.0006314	0
722	0722	1968	1	0	0	.0013308	0
722	0722	1969	1	0	0	.0009164	0
