id	code	year	hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
31171	"31171"	1971	0	9.9088	280	118016.3	1741.8875	39934.2	6737	5.9275938	24.060714	.7290021	.4739538	.055499	0	.1944328	.0217566
31171	"31171"	1972	0	10.5495	451	182823.8	5328.736	60040.76	11548	5.1992343	25.605322	1.065232	.625583	.055499	0	.1944328	.0217566
31172	"31172"	1970	0	9.5165	146	16770.87	407.23428	6021.121	2591	2.3238599	17.746575	.2738741	.0845541	.0252658	0	.1867128	.0308939
31172	"31172"	1971	0	9.9088	143	85065.8	599.91579	31820.2	3402	9.3533803	23.79021	.368126	.3776539	.0252658	0	.1867128	.0308939
31172	"31172"	1972	0	10.5495	224	59159.2	315.17168	17564.81	6225	2.8216567	27.790179	.574218	.1830131	.0252658	0	.1867128	.0308939
31173	"31173"	1970	0	9.5165	99	150202.3	1735.4446	48820.47	8394	5.8161148	84.787879	.8872634	.6855815	.0252658	0	.1867128	.0308939
31173	"31173"	1971	0	9.9088	101	156063.3	4586.1583	48744.55	7484	6.513168	74.09901	.809834	.5785183	.0252658	0	.1867128	.0308939
31173	"31173"	1972	0	10.5495	141	146698.9	2819.0356	47262.9	6652	7.1050664	47.177305	.6136062	.4924466	.0252658	0	.1867128	.0308939
31175	"31175"	1970	0	6.022	203	214579.9	924.10856	60976.42	5830	10.459077	28.719212	.6162432	.8562865	.0307402	.0000298	.1644533	.0029505
31175	"31175"	1971	0	6.2901	215	280726.9	2302.2149	78075.07	5610	13.917125	26.093023	.6070509	.9266237	.0307402	.0000298	.1644533	.0029505
31175	"31175"	1972	0	6.3335	174	425988.8	4584.5807	130338.7	8147	15.998365	46.821839	.7515107	1.358038	.0307402	.0000298	.1644533	.0029505
31179	"31179"	1970	0	9.5165	0	0	0	0	0	0	0	0	0	.055499	0	.1944328	.0217566
31179	"31179"	1971	0	9.9088	0	0	0	0	0	0	0	0	0	.055499	0	.1944328	.0217566
31179	"31179"	1972	0	10.5495	0	0	0	0	0	0	0	0	0	.055499	0	.1944328	.0217566
31181	"31181"	1970	0	8.7224	0	0	0	0	0	0	0	0	0	.0202008	.0000346	.0824901	.0827562
31181	"31181"	1971	0	9.999	0	0	0	0	0	0	0	0	0	.0202008	.0000346	.0824901	.0827562
31181	"31181"	1972	0	12.8239	0	0	0	0	0	0	0	0	0	.0202008	.0000346	.0824901	.0827562
31182	"31182"	1970	0	8.7224	24	259320.8	4185.1154	107137.9	1801	59.488033	75.041667	.1903695	1.504529	.0202008	.0000346	.0824901	.0827562
31182	"31182"	1971	0	9.999	28	24082.41	1504.3574	107270.7	2077	51.646958	74.178571	.2247495	1.273129	.0202008	.0000346	.0824901	.0827562
31182	"31182"	1972	0	12.8239	29	218038.2	3070.0056	83890.23	1485	56.491741	51.206897	.1369821	.874078	.0202008	.0000346	.0824901	.0827562
31191	"31191"	1970	0	17.1147	3	765.4239	87.711999	309.6753	109	2.8410578	36.333333	.0115215	.0043487	.0004461	0	.0594996	.1880288
31191	"31191"	1971	0	20.243	2	0	0	0	61	0	30.5	.0066007	0	.0004461	0	.0594996	.1880288
31191	"31191"	1972	0	19.1591	3	636.7731	0	563.7008	226	2.4942514	75.333333	.0208471	.0058734	.0004461	0	.0594996	.1880288
31193	"31193"	1970	0	12.2811	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31193	"31193"	1971	0	12.328	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31193	"31193"	1972	0	12.1929	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31194	"31194"	1970	0	10.1364	32	46308.35	1290.6194	17846.57	1748	10.20971	54.625	.1847673	.2506178	.0945282	0	.229537	.0091263
31194	"31194"	1971	0	10.2444	46	105267.3	8033.3901	48904.77	2903	16.846286	63.108696	.3141299	.5804198	.0945282	0	.229537	.0091263
31194	"31194"	1972	0	10.2668	57	142936.5	6668.2157	71044.53	3226	22.022484	56.596491	.2975787	.7402347	.0945282	0	.229537	.0091263
31199	"31199"	1970	0	12.2811	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31199	"31199"	1971	0	12.328	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31199	"31199"	1972	0	12.1929	0	0	0	0	0	0	0	0	0	.0138817	0	.0796785	.0040807
31211	"31211"	1970	0	9.5957	94	17288.99	673.50285	5815.105	1741	3.3400945	18.521277	.1840274	.081661	.090745	0	.2370143	.0097165
31211	"31211"	1971	0	10.0896	98	27077.39	94.402992	10922.14	1488	7.3401466	15.183673	.1610146	.129628	.090745	0	.2370143	.0097165
31211	"31211"	1972	0	10.45	88	18842.11	557.38695	7138.756	1303	5.4787077	14.806818	.1201937	.0743809	.090745	0	.2370143	.0097165
31221	"31221"	1970	0	12.9143	113	10105.08	1030.616	5590.702	1319	4.2385912	11.672566	.1394211	.0785097	.0774152	.0032123	.2004141	.0101523
31221	"31221"	1971	0	12.8719	119	11575.6	2082.9563	7263.885	1352	5.3726961	11.361345	.1462982	.0862105	.0774152	.0032123	.2004141	.0101523
31221	"31221"	1972	0	13.9927	117	12249.24	3580.7005	6531.978	1293	5.0518001	11.051282	.1192713	.0680587	.0774152	.0032123	.2004141	.0101523
31223	"31223"	1970	0	10.418	4	11048.19	56.386285	3023.613	298	10.146352	74.5	.0314992	.0424603	.0197392	0	.1084467	.1558495
31223	"31223"	1971	0	10.6849	4	7365.534	63.950414	2395.904	126	19.015115	31.5	.0136343	.0284355	.0197392	0	.1084467	.1558495
31223	"31223"	1972	0	12.0975	1	7811.531	55.44687	3132.879	0		0	0	.0326424	.0197392	0	.1084467	.1558495
31224	"31224"	1970	0	12.2811	92	4356.287	56.386285	1620.376	720	2.2505222	7.826087	.0761055	.0227548	.0138817	0	.0796785	.0040807
31224	"31224"	1971	0	12.328	75	3309.539	54.814641	1378.975	531	2.5969391	7.08	.0574588	.0163662	.0138817	0	.0796785	.0040807
31224	"31224"	1972	0	12.1929	45	3059.157	26.264307	1066.194	351	3.0375906	7.8	.0323776	.011109	.0138817	0	.0796785	.0040807
31225	"31225"	1970	0	7.9644	93	53098.79	795.67313	24584.4	3561	6.9037914	38.290323	.3764052	.3452366	.0082639	.0275193	.112149	.0606664
31225	"31225"	1971	0	9.6491	114	31588.44	63.950414	9845.478	3635	2.708522	31.885965	.3933387	.1168498	.0082639	.0275193	.112149	.0606664
31225	"31225"	1972	0	11.0899	63	11884.69	8.7547689	3101.922	2133	1.454253	33.857143	.1967562	.0323199	.0082639	.0275193	.112149	.0606664
31226	"31226"	1970	0	6.7187	72	14809.41	194.21943	5402.831	900	6.0031455	12.5	.0951319	.0758715	.0223654	.0000173	.1575841	.043405
31226	"31226"	1971	0	7.6344	60	7767.474	3.0452578	2108.876	451	4.6759992	7.5166667	.0488021	.0250289	.0223654	.0000173	.1575841	.043405
31226	"31226"	1972	0	9.42465	66	24393.48	1394.9265	8371.663	815	10.27198	12.348485	.0751787	.0872269	.0223654	.0000173	.1575841	.043405
31227	"31227"	1970	0	13.4234	24	10057.06	469.88571	3382.154	815	4.1498817	33.958333	.0861472	.0474953	.036701	0	.1635415	.0218674
31227	"31227"	1971	0	13.303	18	8772.457	155.30815	2833.947	582	4.869325	32.333333	.0629775	.0336343	.036701	0	.1635415	.0218674
31227	"31227"	1972	0	12.8743	30	23403.21	426.06542	10586.98	902	11.737232	30.066667	.083204	.110309	.036701	0	.1635415	.0218674
31228	"31228"	1970	0	10.418	40	7870.992	6.2651428	3062.008	886	3.455991	22.15	.0936521	.0429995	.0197392	0	.1084467	.1558495
31228	"31228"	1971	0	10.6849	44	8619.641	15.226289	3743.601	1002	3.7361284	22.772727	.1084251	.0444304	.0197392	0	.1084467	.1558495
31228	"31228"	1972	0	12.0975	36	5778.053	29.182563	2074.809	790	2.6263403	21.944444	.0728726	.0216181	.0197392	0	.1084467	.1558495
31230	"31230"	1970	0	5.7329	48	229011.5	1209.1726	40817.04	2044	19.969196	42.583333	.2160551	.57319	.0183924	0	.1587711	.0202362
31230	"31230"	1971	0	6.4464	51	317944.9	886.17002	77112.81	2052	37.57934	40.235294	.2220443	.9152032	.0183924	0	.1587711	.0202362
31230	"31230"	1972	0	6.9281	84	433076.9	3819.9975	80267.32	3279	24.479206	39.035714	.3024676	.8363296	.0183924	0	.1587711	.0202362
31311	"31311"	1970	0	9.0451	19	86024.48	404.10171	37058.74	1702	21.773642	89.578947	.179905	.5204126	.0309063	.0043304	.095051	.1379891
31311	"31311"	1971	0	9.6376	15	75796.88	219.25856	28482.19	1606	17.734866	107.06667	.1737832	.3380372	.0309063	.0043304	.095051	.1379891
31311	"31311"	1972	0	10.4502	12	78122.91	618.67034	27712.39	1191	23.268168	99.25	.1098624	.2887438	.0309063	.0043304	.095051	.1379891
31312	"31312"	1970	0	6.9662	112	265094.3	889.65028	115816.4	5529	20.947074	49.366071	.5844269	1.626399	.01682	0	.124484	.2949438
31312	"31312"	1971	0	7.0371	63	245484.7	679.09249	102457	5308	19.30237	84.253968	.5743719	1.215997	.01682	0	.124484	.2949438
31312	"31312"	1972	0	7.4023	59	319333.2	1354.0709	167029.2	4150	40.247993	70.338983	.382812	1.740328	.01682	0	.124484	.2949438
31313	"31313"	1970	0	10.418	23	15223.65	209.88228	6546.362	753	8.6937077	32.73913	.0795937	.09193	.0197392	0	.1084467	.1558495
31313	"31313"	1971	0	10.6849	21	22218.27	73.086187	9714.644	905	10.734413	43.095238	.0979289	.115297	.0197392	0	.1084467	.1558495
31313	"31313"	1972	0	12.0975	19	10117.79	29.182563	5009.3	572	8.7575166	30.105263	.0527635	.0521934	.0197392	0	.1084467	.1558495
31314	"31314"	1970	0	8.692101	6	5936.425	667.23771	3175.297	186	17.071489	31	.0196606	.0445904	.0182796	0	.1164654	.2253967
