id	code	year	hci	product_value_share_hci	product_share_hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
31223	"31223"	1969	0	0	0	12.4328	34	5509.62	10	-345.8593	969	-.35692397	28.5	.1027321	-.0059366	.0139119	0	.0936722	.2753049
31223	"31223"	1970	0	0	0	12.57135	84	22201.27	22	7580.729	2070	3.662188	24.642857	.211375	.1128578	.0139119	0	.0936722	.2753049
31223	"31223"	1971	0	0	0	12.69965	92	20701.36	29	8307.316	2130	3.9001482	23.152174	.2218544	.1033361	.0139119	0	.0936722	.2753049
31223	"31223"	1972	0	0	0	14.55195	73	15874.16	37	6061.044	1580	3.8361035	21.643836	.1414282	.0663722	.0139119	0	.0936722	.2753049
3123	"3123"	1967	0	.0017863	.0769231	5.506	20	16745.37	7	8245.55	430	19.175698	21.5	.0564677	.2129955	.0183924	0	.1587711	.0202362
3123	"3123"	1968	0	.0017863	.0769231	5.3273	31	44544.14	83	11150.11	669	16.666836	21.580645	.0773554	.2291974	.0183924	0	.1587711	.0202362
3123	"3123"	1969	0	.0017863	.0769231	5.3365	40	63693.43	140	5546.706	2394	2.31692	59.85	.2538087	.0952074	.0183924	0	.1587711	.0202362
3123	"3123"	1970	0	.0017863	.0769231	5.7329	48	229011.5	386	40817.04	2044	19.969196	42.583333	.2087201	.6076622	.0183924	0	.1587711	.0202362
3123	"3123"	1971	0	.0017863	.0769231	6.4464	51	317944.9	136	77112.81	2052	37.57934	40.235294	.2137302	.9592194	.0183924	0	.1587711	.0202362
3123	"3123"	1972	0	.0017863	.0769231	6.9281	84	433076.9	1065	80267.32	3279	24.479206	39.035714	.2935082	.8789766	.0183924	0	.1587711	.0202362
3131	"3131"	1967	0	.0006444	.2105263	6.901267	164	199064.9	413	70204.5	6500	10.800693	39.634146	.8535818	1.813492	.0224885	.0014435	.1093272	.1962608
3131	"3131"	1968	0	.0006444	.2105263	8.4235	165	219991.7	219	99103.7	7283	13.607538	44.139394	.8421221	2.037137	.0224885	.0014435	.1093272	.1962608
3131	"3131"	1969	0	.0006444	.2105263	8.653367	142	249394.3	396	110396.3	6749	16.357436	47.528169	.7155201	1.894917	.0224885	.0014435	.1093272	.1962608
3131	"3131"	1970	0	.0006444	.2105263	8.809767	137	303810.5	627	132761.7	7417	17.899655	54.138686	.7573762	1.976486	.0224885	.0014435	.1093272	.1962608
3131	"3131"	1971	0	.0006444	.2105263	9.119866	91	278545.7	226	113598.2	7275	15.614867	79.945055	.7577422	1.413067	.0224885	.0014435	.1093272	.1962608
3131	"3131"	1972	0	.0006444	.2105263	9.983334	89	327836.4	482	157292.1	5693	27.629044	63.966292	.5095889	1.722446	.0224885	.0014435	.1093272	.1962608
3132	"3132"	1967	0	0	0	7.9105	1522	226382.7	327	121180.7	14320	8.46234	9.4086728	1.880506	3.130287	.0209318	0	.1149149	.2473828
3132	"3132"	1968	0	0	0	9.9731	1561	249731.8	170	149301.6	15520	9.6199501	9.9423447	1.794554	3.068986	.0209318	0	.1149149	.2473828
3132	"3132"	1969	0	0	0	10.1243	1561	320901.2	915	203036.3	15870	12.793715	10.16656	1.682516	3.485051	.0209318	0	.1149149	.2473828
3132	"3132"	1970	0	0	0	10.418	1539	206440.8	599	112449.6	15540	7.2361393	10.097466	1.586845	1.67409	.0209318	0	.1149149	.2473828
3132	"3132"	1971	0	0	0	10.6849	1443	274087.7	665	156229.8	14059	11.112442	9.7428967	1.464343	1.94337	.0209318	0	.1149149	.2473828
3132	"3132"	1972	0	0	0	12.0975	1319	348989.5	842	175011.4	14008	12.493673	10.620167	1.253877	1.916482	.0209318	0	.1149149	.2473828
31330	"31330"	1967	0	0	0	9.1887	39	11133.24	17	2807.797	1044	2.6894604	26.769231	.1370984	.0725298	.0139119	0	.0936722	.2753049
31330	"31330"	1968	0	0	0	12.35835	38	6958.858	42	2516.517	725	3.4710582	19.078947	.0838306	.0517285	.0139119	0	.0936722	.2753049
31330	"31330"	1969	0	0	0	12.4328	36	124630	307	93832.44	2083	45.046779	57.861111	.2208369	1.610603	.0139119	0	.0936722	.2753049
31330	"31330"	1970	0	0	0	12.57135	46	15678.51	2671	5043.213	2649	1.9038178	57.586957	.2704988	.0750807	.0139119	0	.0936722	.2753049
31330	"31330"	1971	0	0	0	12.69965	50	227966.9	5081	174327.6	2475	70.435411	49.5	.2577886	2.168491	.0139119	0	.0936722	.2753049
31330	"31330"	1972	0	0	0	14.55195	39	203663.4	1119	162088.2	2233	72.587661	57.25641	.1998792	1.774966	.0139119	0	.0936722	.2753049
31340	"31340"	1967	0	0	0	10.5619	49	14126.25	39	5642.924	1377	4.097984	28.102041	.180828	.1457655	.0273303	0	.2167865	.0788837
31340	"31340"	1968	0	0	0	11.8694	44	19950.46	13	9528.704	1759	5.4171143	39.977273	.2033905	.1958683	.0273303	0	.2167865	.0788837
31340	"31340"	1969	0	0	0	11.8688	42	25588.1	221	15283.77	1732	8.824347	41.238095	.1836244	.2623409	.0273303	0	.2167865	.0788837
31340	"31340"	1970	0	0	0	12.9143	50	53645.96	252	26815.24	3772	7.1090233	75.44	.3851723	.3992109	.0273303	0	.2167865	.0788837
31340	"31340"	1971	0	0	0	12.8719	38	69407	2591	38774.39	3451	11.235696	90.815789	.3594458	.4823212	.0273303	0	.2167865	.0788837
31340	"31340"	1972	0	0	0	13.9927	41	106548.4	2013	56536.62	2661	21.246383	64.902439	.2381901	.6191109	.0273303	0	.2167865	.0788837
31400	"31400"	1967	0	0	0	10.7569	6	273480.3	1069	163550.8	8428	19.405653	1404.6667	1.106767	4.224774	.0192345	0	.0952223	.059704
31400	"31400"	1968	0	0	0	11.8613	6	331135.7	409	184794.2	8771	21.068777	1461.8333	1.014177	3.798558	.0192345	0	.0952223	.059704
31400	"31400"	1969	0	0	0	12.6522	7	421847.6	805	296699.4	10196	29.099588	1456.5714	1.080966	5.092749	.0192345	0	.0952223	.059704
31400	"31400"	1970	0	0	0	12.6522	9	548473.8	2805	369161.1	10955	33.697955	1217.2222	1.118654	5.495873	.0192345	0	.0952223	.059704
31400	"31400"	1971	0	0	0	12.6522	23	617023.1	6092	434817.7	14339	30.324128	623.43478	1.493507	5.408772	.0192345	0	.0952223	.059704
31400	"31400"	1972	0	0	0	12.6522	27	856428.1	2362	553690.3	13810	40.093431	511.48148	1.236154	6.06325	.0192345	0	.0952223	.059704
3211	"3211"	1967	0	.0086828	.1971831	12.19837	232	256690.1	6255	102144.8	33440	3.0545699	144.13793	4.39135	2.63856	.2213117	.0091461	.4584569	.0645323
3211	"3211"	1968	0	.0086828	.1971831	12.8437	223	379906.1	6675	131177.1	47444	2.7648838	212.75336	5.485877	2.696426	.2213117	.0091461	.4584569	.0645323
3211	"3211"	1969	0	.0086828	.1971831	12.69423	302	501369.4	19027	173307	57529	3.0125162	190.49338	6.099149	2.974759	.2213117	.0091461	.4584569	.0645323
3211	"3211"	1970	0	.0086828	.1971831	13.19417	311	433828.1	7016	167293.6	48041	3.4823096	154.47267	4.905637	2.490578	.2213117	.0091461	.4584569	.0645323
3211	"3211"	1971	0	.0086828	.1971831	13.8621	277	697563.9	15329	221243.5	51458	4.2994975	185.76895	5.359712	2.752086	.2213117	.0091461	.4584569	.0645323
3211	"3211"	1972	0	.0086828	.1971831	16.0114	318	941491.7	8274	383889	73878	5.1962556	232.32075	6.61293	4.203821	.2213117	.0091461	.4584569	.0645323
3212	"3212"	1967	0	.0064724	.025974	17.12145	1322	279217	3514	87475.08	77349	1.1309141	58.509077	10.15749	2.259618	.157281	.0062578	.4503852	.0444881
3212	"3212"	1968	0	.0064724	.025974	18.393	1369	281226.6	3394	97624.1	77653	1.2571839	56.722425	8.978897	2.006723	.157281	.0062578	.4503852	.0444881
3212	"3212"	1969	0	.0064724	.025974	18.80505	1540	364306.4	7213	139771	81229	1.7207028	52.746104	8.611792	2.399123	.157281	.0062578	.4503852	.0444881
3212	"3212"	1970	0	.0064724	.025974	19.32425	1308	432177.2	12596	153610.1	82523	1.8614218	63.090979	8.426716	2.286865	.157281	.0062578	.4503852	.0444881
3212	"3212"	1971	0	.0064724	.025974	18.9404	1176	431215.8	7988	155820.4	69554	2.2402791	59.144558	7.244537	1.938276	.157281	.0062578	.4503852	.0444881
3212	"3212"	1972	0	.0064724	.025974	19.4814	1196	616932.1	8353	234649.5	74646	3.1434969	62.413043	6.681675	2.569556	.157281	.0062578	.4503852	.0444881
32130	"32130"	1967	0	0	0	15.306	170	19182.02	456	8147.132	6139	1.3271106	36.111765	.8061752	.2104532	.36165	.0001106	.6472774	.0211269
32130	"32130"	1968	0	0	0	16.2464	197	37534.47	271	14175.45	7946	1.7839727	40.335025	.9187837	.2913849	.36165	.0001106	.6472774	.0211269
32130	"32130"	1969	0	0	0	16.0976	194	51982.9	590	19679.95	14263	1.3797904	73.520619	1.512144	.3378	.36165	.0001106	.6472774	.0211269
32130	"32130"	1970	0	0	0	17.3962	174	57403.34	373	21452.96	8288	2.5884364	47.632184	.8463171	.3193802	.36165	.0001106	.6472774	.0211269
32130	"32130"	1971	0	0	0	19.3666	168	84330.75	790	25812.48	9063	2.8481167	53.946429	.943975	.3210859	.36165	.0001106	.6472774	.0211269
32130	"32130"	1972	0	0	0	22.167	197	107845	595	32282.22	11995	2.6913065	60.888325	1.07369	.3535102	.36165	.0001106	.6472774	.0211269
3214	"3214"	1967	0	.0016211	.0825	7.04165	172	28842.67	187	13860.39	6017	2.303538	34.982558	.7901542	.3580355	.0622212	.0548582	.3099857	.1563651
3214	"3214"	1968	0	.0016211	.0825	7.92095	143	26032.23	314	13420.11	3252	4.1267243	22.741259	.3760237	.2758585	.0622212	.0548582	.3099857	.1563651
3214	"3214"	1969	0	.0016211	.0825	8.58735	165	34038.44	196	15010.45	4886	3.072135	29.612121	.5180073	.2576495	.0622212	.0548582	.3099857	.1563651
3214	"3214"	1970	0	.0016211	.0825	9.37915	152	27102.67	247	10427.38	3876	2.6902435	25.5	.3957921	.1552373	.0622212	.0548582	.3099857	.1563651
3214	"3214"	1971	0	.0016211	.0825	9.939	164	41100.71	45	16681.76	4709	3.5425268	28.713415	.4904754	.2075073	.0622212	.0548582	.3099857	.1563651
3214	"3214"	1972	0	.0016211	.0825	10.98445	164	68123.58	324	24443.65	6670	3.6647146	40.670732	.5970417	.267673	.0622212	.0548582	.3099857	.1563651
32141	"32141"	1967	0	.0008717	.04	8.5817	129	17548.97	177	9217.288	5252	1.7550053	40.713178	.6896941	.238097	.0840425	.075103	.4429312	.2582265
32141	"32141"	1968	0	.0008717	.04	10.2375	99	11750.92	308	6456.654	1962	3.2908534	19.818182	.226863	.1327205	.0840425	.075103	.4429312	.2582265
32141	"32141"	1969	0	.0008717	.04	11.3268	106	17992.72	148	8554.931	3635	2.3534887	34.292453	.3853779	.1468426	.0840425	.075103	.4429312	.2582265
32141	"32141"	1970	0	.0008717	.04	12.5361	92	12795.05	208	4068.251	2421	1.680401	26.315217	.2472169	.0605659	.0840425	.075103	.4429312	.2582265
32141	"32141"	1971	0	.0008717	.04	12.9069	111	16835.96	9	6577.877	2742	2.3989339	24.702703	.2855985	.0818233	.0840425	.075103	.4429312	.2582265
32141	"32141"	1972	0	.0008717	.04	13.6458	91	27466.33	172	11300.18	3533	3.1984661	38.824176	.3162441	.1237439	.0840425	.075103	.4429312	.2582265
3215	"3215"	1967	0	.0001076	.0238095	22.3166	681	69248.9	983	29072.53	33461	.86884815	49.135095	4.394108	.7509888	.1334049	.0423724	.487928	.0843692
3215	"3215"	1968	0	.0001076	.0238095	23.0253	783	69137	1191	30992	45777	.67702115	58.463602	5.293124	.6370593	.1334049	.0423724	.487928	.0843692
3215	"3215"	1969	0	.0001076	.0238095	23.0212	849	100559.5	1857	43155.87	47680	.90511479	56.160188	5.054971	.7407566	.1334049	.0423724	.487928	.0843692
3215	"3215"	1970	0	.0001076	.0238095	22.2079	813	163189.7	6973	76945.59	55837	1.3780396	68.680197	5.701714	1.145525	.1334049	.0423724	.487928	.0843692
3215	"3215"	1971	0	.0001076	.0238095	23.7362	738	229982	5602	103554.9	59938	1.7277004	81.216802	6.242963	1.288137	.1334049	.0423724	.487928	.0843692
3215	"3215"	1972	0	.0001076	.0238095	26.3301	849	248954.6	2902	104693.9	62629	1.6716516	73.767962	5.606015	1.146462	.1334049	.0423724	.487928	.0843692
3216	"3216"	1967	0	.0044944	.0454545	10.56755	30	1220.718	3	567.7758	3779	.150245	125.96667	.4962593	.0146665	.0472455	.0505568	.2583231	.1988569
3216	"3216"	1968	0	.0044944	.0454545	11.6531	18	1536.072	7	832.3965	1876	.44370817	104.22222	.216919	.0171104	.0472455	.0505568	.2583231	.1988569
3216	"3216"	1969	0	.0044944	.0454545	12.4081	17	1813.332	14	894.5769	811	1.1030542	47.705882	.0859812	.0153551	.0472455	.0505568	.2583231	.1988569
3216	"3216"	1970	0	.0044944	.0454545	13.4704	22	4639.803	141	1700.024	1050	1.6190703	47.727273	.1072192	.025309	.0472455	.0505568	.2583231	.1988569
3216	"3216"	1971	0	.0044944	.0454545	13.97	20	6406.585	4	3371.51	1000	3.3715103	50	.104157	.0419388	.0472455	.0505568	.2583231	.1988569
3216	"3216"	1972	0	.0044944	.0454545	15.1423	23	4814.328	44	2463.298	886	2.7802463	38.521739	.0793072	.0269746	.0472455	.0505568	.2583231	.1988569
