var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,outcome,panel,estimator,model_id
Tp0,.0077443714,.078628935,.0984926405687192,.9215411155225435,-.1463655091602582,.1618542520109791,1711,l_y_n,4d,dr,23
Tp1,.0079887444,.081419088,.0981188148484359,.9218379475259886,-.1515897356137297,.1675672244444153,1711,l_y_n,4d,dr,23
Tp2,-.095139593,.094059549,-1.011482551450324,.3117855281710382,-.2794929218612801,.0892137360893379,1711,l_y_n,4d,dr,23
Tp3,.058069281,.085051209,.6827566844029721,.4947606046348227,-.1086280246812019,.2247665872412833,1711,l_y_n,4d,dr,23
Tp4,.10641969,.078444183,1.35662946640579,.1748989741666573,-.0473280832739801,.2601674631806344,1711,l_y_n,4d,dr,23
Tp5,.15246634,.096283354,1.583517147384421,.1133036414813555,-.036245564033271,.3411782477395545,1711,l_y_n,4d,dr,23
Tp6,.15465103,.094391719,1.638396178653445,.1013390757951564,-.0303533378141022,.3396553996102906,1711,l_y_n,4d,dr,23
Tp7,.19664918,.10459054,1.880181266364176,.0600833778584891,-.0083445177852716,.401642875510415,1711,l_y_n,4d,dr,23
Tp8,.17301209,.10536566,1.642015992290732,.1005866898698531,-.0335007988777934,.3795249842968761,1711,l_y_n,4d,dr,23
Tp9,.2327988,.10884687,2.138773575161205,.0324540105532407,.0194628634773279,.4461347362674689,1711,l_y_n,4d,dr,23
Tp10,.3397426,.093421824,3.636651323704339,.0002762054085219,.1566391899659498,.5228460118696825,1711,l_y_n,4d,dr,23
Tp11,.3672415,.099632427,3.685963621592413,.0002278388976134,.1719655330069749,.5625174706093581,1711,l_y_n,4d,dr,23
Tp12,.27825612,.10025612,2.775452620211028,.0055124930707562,.0817577286764632,.4747545079186906,1711,l_y_n,4d,dr,23
Tp13,.26307446,.098683588,2.66583798203817,.007679669374167,.0696581788949693,.4564907363958632,1711,l_y_n,4d,dr,23
Pre_avg,-.0034379428,.039127387,-.0878653822681097,.9299836711018039,-.0801262123629951,.0732503267124796,3985,l_y_n,5d,ols,22
Post_avg,.15479422,.067956544,2.277841190846635,.0227360411782584,.0216018365028333,.2879865958091784,3985,l_y_n,5d,ols,22
Tm2,-.019657819,.063852049,-.3078651160310462,.7581849707596766,-.14480553578388,.1054898985828092,3985,l_y_n,5d,ols,22
Tm1,.012781932,.065550767,.1949928677580039,.8453985311584586,-.1156952102354335,.1412590742728281,3985,l_y_n,5d,ols,22
Tp0,.057434149,.085417569,.6723926935827933,.5013337329717882,-.1099812091804045,.2248495073533553,3985,l_y_n,5d,ols,22
Tp1,.021814376,.07472153,.2919423102349457,.7703307330145128,-.1246371317104169,.1682658839420148,3985,l_y_n,5d,ols,22
Tp2,-.054794904,.089289419,-.6136774574371655,.5394284875675088,-.2297989499769848,.1202091422877949,3985,l_y_n,5d,ols,22
Tp3,.051440582,.089821272,.5726993257162414,.5668482940915713,-.1246058756989908,.2274870390576792,3985,l_y_n,5d,ols,22
Tp4,.10321687,.088403426,1.167566418635439,.2429817024845558,-.0700506596677824,.2764844029062315,3985,l_y_n,5d,ols,22
Tp5,.14661716,.094844103,1.545875334648886,.1221346785024824,-.0392738665032282,.3325081849980249,3985,l_y_n,5d,ols,22
Tp6,.19674337,.091369733,2.153266318955581,.0312977542172495,.0176619827252633,.3758247554796927,3985,l_y_n,5d,ols,22
Tp7,.20593429,.091577075,2.248753688289417,.0245281713200645,.0264465164812977,.3854220557538097,3985,l_y_n,5d,ols,22
Tp8,.21536265,.090753622,2.373047461382699,.0176419968160242,.0374888218576734,.3932364844148333,3985,l_y_n,5d,ols,22
Tp9,.18288678,.09019316,2.027723383404977,.042588487726035,.0061114342950784,.3596621243215598,3985,l_y_n,5d,ols,22
Tp10,.24739791,.090154618,2.744151325234613,.0060667564645667,.0706981101602221,.4240977188974713,3985,l_y_n,5d,ols,22
Tp11,.2592133,.0827372,3.132971609841835,.0017304617916258,.0970513664517074,.4213752306666703,3985,l_y_n,5d,ols,22
Tp12,.23748636,.096275784,2.466729975126756,.0136353138158734,.0487892930864106,.4261834318281401,3985,l_y_n,5d,ols,22
Tp13,.29636604,.091485746,3.239477713551639,.0011974882433643,.117057268277979,.4756748035985469,3985,l_y_n,5d,ols,22
Pre_avg,-.0068297992,.035733886,-.1911294825547562,.8484241496625757,-.0768669288642423,.0632073305584209,3985,l_y_n,5d,dr,21
Post_avg,.16076937,.065917313,2.438955194324307,.0147297944574944,.0315738135469731,.289964932809991,3985,l_y_n,5d,dr,21
Tm2,-.021680014,.061424848,-.35295185942633,.7241245313355322,-.1420705034406298,.0987104750247114,3985,l_y_n,5d,dr,21
Tm1,.008020415,.067535207,.118759020155946,.9054662760261396,-.1243461578016916,.140386987743322,3985,l_y_n,5d,dr,21
Tp0,.066413365,.085776374,.7742617507085647,.4387760178901254,-.1017052379582384,.2345319685671786,3985,l_y_n,5d,dr,21
Tp1,.021740552,.073099256,.2974114014001934,.7661524402302549,-.1215313561599189,.1650124602358276,3985,l_y_n,5d,dr,21
Tp2,-.05216597,.093724631,-.5565876309779072,.5778092066471145,-.2358628709857873,.131530930573266,3985,l_y_n,5d,dr,21
Tp3,.055117801,.092790395,.5940032997926148,.5525099059408543,-.1267480315214696,.2369836331850591,3985,l_y_n,5d,dr,21
Tp4,.11062761,.088709578,1.247076319807216,.212369514797931,-.0632399638414362,.2844951917648295,3985,l_y_n,5d,dr,21
Tp5,.1548631,.096023552,1.612761669461113,.106796296639464,-.0333395995980742,.3430658080464842,3985,l_y_n,5d,dr,21
Tp6,.19903761,.093113318,2.137584779240707,.0325504581674605,.0165388615555914,.3815363614134637,3985,l_y_n,5d,dr,21
Tp7,.20903954,.094587699,2.210007667376691,.0271046301670075,.0236510565036935,.3944280216937857,3985,l_y_n,5d,dr,21
Tp8,.22343826,.09056478,2.467165084420512,.0136187554596907,.0459345559946136,.4009419698842926,3985,l_y_n,5d,dr,21
Tp9,.18852131,.090854876,2.074971861934251,.0379891426802226,.0104490264101607,.3665935949639695,3985,l_y_n,5d,dr,21
Tp10,.25914291,.085553654,3.029010390046275,.0024535624459925,.0914608257929663,.4268249851544519,3985,l_y_n,5d,dr,21
Tp11,.26539254,.080208398,3.308787448368099,.0009370094334631,.108186969760331,.4225981140104209,3985,l_y_n,5d,dr,21
Tp12,.24778688,.091896825,2.696359539987367,.0070101955468982,.067672413150026,.4279013459289536,3985,l_y_n,5d,dr,21
Tp13,.30181566,.090246342,3.344353374432484,.0008247461263013,.1249360785110672,.4786952391044419,3985,l_y_n,5d,dr,21
Pre_avg,-.011347125,.0068465257,-1.657355244258883,.0974476743071035,-.024766069088049,.0020718185193015,1711,l_ppi,4d,ols,20
Post_avg,-.11524761,.03042041,-3.788496490259238,.0001515617336074,-.1748705217270604,-.0556247076363811,1711,l_ppi,4d,ols,20
Tm5,.018401962,.016046835,1.146765804469117,.2514784255517704,-.0130492571070182,.0498531806542861,1711,l_ppi,4d,ols,20
Tm4,-.0069751772,.012209533,-.5712894452323994,.5678034551937836,-.0309054217314589,.0169550673118102,1711,l_ppi,4d,ols,20
Tm3,-.0042779897,.014860999,-.2878669045244194,.7734486214069383,-.03340501223297,.0248490327650416,1711,l_ppi,4d,ols,20
Tm2,-.018607218,.0082013262,-2.268805954776611,.023280128701562,-.0346815218813774,-.0025329137556198,1711,l_ppi,4d,ols,20
Tm1,-.045277204,.01843673,-2.455815352858071,.0140565361699969,-.0814125309768901,-.0091418777521863,1711,l_ppi,4d,ols,20
Tp0,-.029789247,.018194532,-1.63726368905362,.1015753844866423,-.0654498740971935,.0058713808596981,1711,l_ppi,4d,ols,20
Tp1,.0016610619,.023685256,.0701306285228955,.9440896886753161,-.0447611868709558,.0480833106536651,1711,l_ppi,4d,ols,20
Tp2,.039381426,.029688753,1.32647624434815,.1846819987309023,-.0188074611659636,.0975703128214469,1711,l_ppi,4d,ols,20
Tp3,.011225487,.030755814,.3649874799402273,.7151207520790264,-.0490548009728172,.071505775183914,1711,l_ppi,4d,ols,20
Tp4,-.036542144,.031696752,-1.152867145589862,.2489649190605814,-.0986666354585683,.0255823481131589,1711,l_ppi,4d,ols,20
Tp5,-.063427255,.035068713,-1.808656460391817,.0705043911028256,-.1321606692737673,.0053061601585482,1711,l_ppi,4d,ols,20
Tp6,-.13235426,.038345661,-3.451609803819656,.0005572529623399,-.2075103740424126,-.057198144939521,1711,l_ppi,4d,ols,20
Tp7,-.1831812,.040807363,-4.488925149142201,7.15834422516e-06,-.2631621575411466,-.1032002353612276,1711,l_ppi,4d,ols,20
Tp8,-.18246646,.040854573,-4.466243256018885,7.96050920293e-06,-.2625399544279188,-.1023929700811296,1711,l_ppi,4d,ols,20
Tp9,-.18329318,.041930772,-4.37132846220397,.0000123492851354,-.2654759823552199,-.101110374999898,1711,l_ppi,4d,ols,20
Tp10,-.19139217,.045198902,-4.234442826449676,.0000229119065462,-.2799803894194091,-.1028039473859345,1711,l_ppi,4d,ols,20
Tp11,-.21263643,.04413579,-4.81777769374771,1.45165977261e-06,-.299140985544177,-.1261318666382113,1711,l_ppi,4d,ols,20
Tp12,-.21460621,.042801145,-5.014029607431929,5.33017793236e-07,-.2984949141962653,-.1307175069825525,1711,l_ppi,4d,ols,20
Tp13,-.23604609,.043015357,-5.487484159095552,4.07698563798e-08,-.3203546414337842,-.1517375400103839,1711,l_ppi,4d,ols,20
Pre_avg,-.011461144,.0070193578,-1.63279102048593,.1025129562675147,-.0252188327091473,.0022965440827149,1711,l_ppi,4d,dr,19
Post_avg,-.11538827,.03301936,-3.4945642087435,.0004748363782532,-.1801050308889066,-.0506715174967135,1711,l_ppi,4d,dr,19
Tm5,.017621446,.015336406,1.148994485509227,.2505582545473886,-.0124373578290826,.0476802506308442,1711,l_ppi,4d,dr,19
Tm4,-.0074100764,.01230179,-.6023575991604477,.5469361276344484,-.0315211410017073,.0167009881080449,1711,l_ppi,4d,dr,19
Tm3,-.0032615135,.015343323,-.2125689114408167,.8316632223126599,-.0333338747114436,.0268108476266758,1711,l_ppi,4d,dr,19
Tm2,-.019103449,.008019736,-2.382054565221784,.017216346214695,-.0348218426353638,-.0033850550406273,1711,l_ppi,4d,dr,19
Tm1,-.045152131,.019215735,-2.349747861868841,.0187861317875204,-.0828142793685673,-.007489983567548,1711,l_ppi,4d,dr,19
Tp0,-.028853528,.017881224,-1.61362154578757,.1066095405020646,-.0639000831076166,.0061930267044565,1711,l_ppi,4d,dr,19
Tp1,.0046252566,.023488358,.1969169877819698,.8438924996291168,-.0414110784368044,.0506615917147523,1711,l_ppi,4d,dr,19
Tp2,.040219966,.029964438,1.342256668180308,.1795127880703016,-.0185092524029972,.0989491850473644,1711,l_ppi,4d,dr,19
Tp3,.013183632,.031864244,.4137437477297287,.6790617845220628,-.0492691396624426,.0756364035308937,1711,l_ppi,4d,dr,19
Tp4,-.036894076,.033060566,-1.115954156050259,.2644417585307632,-.1016915934390974,.0279034422941161,1711,l_ppi,4d,dr,19
Tp5,-.062939718,.03605032,-1.745885166593918,.0808309079090488,-.1335970465532215,.007717609821883,1711,l_ppi,4d,dr,19
Tp6,-.13088946,.039858423,-3.283859471182254,.0010239596669448,-.2090105343449251,-.0527683865439756,1711,l_ppi,4d,dr,19
Tp7,-.18285379,.043723945,-4.182005761751008,.0000288948645493,-.2685511447656666,-.0971564315092052,1711,l_ppi,4d,dr,19
Tp8,-.18422122,.0451863,-4.076926495133189,.0000456349111173,-.2727847432594633,-.0956577027339602,1711,l_ppi,4d,dr,19
Tp9,-.18439423,.044946238,-4.102550781738234,.0000408620132231,-.2724872339798853,-.0963012169764593,1711,l_ppi,4d,dr,19
Tp10,-.19255963,.047188967,-4.080606972721342,.0000449182511253,-.2850483063804131,-.1000709529770393,1711,l_ppi,4d,dr,19
Tp11,-.21437891,.047576535,-4.505979808207965,6.60673700548e-06,-.307627204352295,-.1211306122008209,1711,l_ppi,4d,dr,19
Tp12,-.21676917,.047070939,-4.605159317285913,4.12150204943e-06,-.3090265190837224,-.1245118283989589,1711,l_ppi,4d,dr,19
Tp13,-.23871095,.047205824,-5.056811480243758,4.26324298086e-07,-.3312326704795805,-.1461892390911134,1711,l_ppi,4d,dr,19
Pre_avg,-.03506799,.0056039202,-6.257760487977433,3.90544929729e-10,-.0460514721917817,-.024084508652716,4046,l_ppi,5d,ols,18
Post_avg,-.10123429,.020511081,-4.935589930186728,7.99088486714e-07,-.1414352679342965,-.0610333061127921,4046,l_ppi,5d,ols,18
Tm2,-.039472103,.0064305477,-6.138217933514735,8.34523339321e-10,-.0520757449812488,-.0268684612565441,4046,l_ppi,5d,ols,18
Tm1,-.030663878,.0088819824,-3.452368659350006,.0005556879315483,-.0480722433721117,-.0132555120790907,4046,l_ppi,5d,ols,18
Tp0,-.00264034,.010538095,-.250551934907341,.8021605468399127,-.023294626044221,.0180139460210872,4046,l_ppi,5d,ols,18
Tp1,.0079111867,.017955352,.4406032715105627,.6595002340168796,-.0272806558414449,.043103029172038,4046,l_ppi,5d,ols,18
Tp2,.016519371,.019510731,.8466813126888829,.3971727775210425,-.0217209588499312,.0547597016902212,4046,l_ppi,5d,ols,18
Tp3,-.0041234731,.022066725,-.1868638411990631,.8517673903199805,-.0473734601502461,.0391265140016717,4046,l_ppi,5d,ols,18
Tp4,-.05654541,.022344906,-2.530572766837858,.0113876461311579,-.1003406210740234,-.0127501995364998,4046,l_ppi,5d,ols,18
Tp5,-.0747879,.024440393,-3.060012181686377,.0022132798905758,-.1226901896093951,-.026885610094203,4046,l_ppi,5d,ols,18
Tp6,-.11815567,.025887329,-4.564228026254422,5.01335654080e-06,-.1688939058996575,-.0674174403928383,4046,l_ppi,5d,ols,18
Tp7,-.16553864,.027483344,-6.023234958598463,1.70964975510e-09,-.2194050033979125,-.1116722742624574,4046,l_ppi,5d,ols,18
Tp8,-.17708528,.029140597,-6.076926946496199,1.22507537448e-09,-.2341998014366798,-.1199707594001122,4046,l_ppi,5d,ols,18
Tp9,-.15395482,.028662154,-5.371362404313474,7.81439830622e-08,-.2101316092881043,-.0977780284014861,4046,l_ppi,5d,ols,18
Tp10,-.14548881,.029265046,-4.971419246169952,6.64645478432e-07,-.2028472499199738,-.0881303771189819,4046,l_ppi,5d,ols,18
Tp11,-.16745771,.029231502,-5.728672996276239,1.01219295168e-08,-.2247504053075438,-.1101650240461702,4046,l_ppi,5d,ols,18
Tp12,-.17747054,.029364146,-6.043783233942853,1.50541734634e-09,-.235023204209398,-.1199178658704055,4046,l_ppi,5d,ols,18
Tp13,-.19846199,.029475473,-6.733123347027689,1.66058278239e-11,-.2562328597763361,-.1406911292812048,4046,l_ppi,5d,ols,18
Pre_avg,-.0352652,.0054536955,-6.466294196532329,1.00435437744e-10,-.0459542466872117,-.0245761529929259,4046,l_ppi,5d,dr,17
Post_avg,-.1002377,.021501085,-4.661983606604243,3.13176142086e-06,-.1423790566297045,-.0580963529972563,4046,l_ppi,5d,dr,17
Tm2,-.039784063,.0063823094,-6.233490163546296,4.56156001860e-10,-.0522931591493671,-.0272749661581929,4046,l_ppi,5d,dr,17
Tm1,-.030746333,.0086187916,-3.567360109405764,.0003605957733848,-.0476388544031197,-.013853812199015,4046,l_ppi,5d,dr,17
Tp0,-.0020773679,.010183003,-.2040034649982678,.8383507911753856,-.0220356865972152,.0178809508867434,4046,l_ppi,5d,dr,17
Tp1,.0095946649,.017894356,.5361838746267159,.5918314769672559,-.0254776275548207,.0446669573727118,4046,l_ppi,5d,dr,17
Tp2,.018249629,.019860316,.9188992261235858,.3581482847535113,-.0206758751493384,.0571751332801272,4046,l_ppi,5d,dr,17
Tp3,-.0021828478,.02157177,-.1011900177321009,.9193996207402033,-.0444627407113805,.0400970450709358,4046,l_ppi,5d,dr,17
Tp4,-.054936096,.021697655,-2.531890900724879,.0113449284021201,-.0974627190486892,-.0124094730957047,4046,l_ppi,5d,dr,17
Tp5,-.073329382,.023526501,-3.116884313720212,.0018277327975165,-.1194404761115949,-.0272182871778567,4046,l_ppi,5d,dr,17
Tp6,-.1168621,.025939597,-4.505162386190361,6.63222059027e-06,-.167702771427038,-.0660214203578206,4046,l_ppi,5d,dr,17
Tp7,-.16442518,.028712776,-5.726551201182947,1.02492838661e-08,-.2207011853526162,-.1081491733719779,4046,l_ppi,5d,dr,17
Tp8,-.17638665,.029622111,-5.954560482920158,2.60771670924e-09,-.2344449260032486,-.1183283827507187,4046,l_ppi,5d,dr,17
Tp9,-.15331276,.028206868,-5.435298845764772,5.47046683508e-08,-.2085972031984313,-.0980283120241182,4046,l_ppi,5d,dr,17
Tp10,-.14505871,.029114446,-4.982361953230627,6.28128000724e-07,-.2021219713486475,-.0879954414569098,4046,l_ppi,5d,dr,17
Tp11,-.16724166,.029085299,-5.750041034127906,8.92217921766e-09,-.2242478012605685,-.1102355242208463,4046,l_ppi,5d,dr,17
Tp12,-.17717272,.029349655,-6.036620224591317,1.57375512622e-09,-.2346969870203398,-.1196484538442232,4046,l_ppi,5d,dr,17
Tp13,-.19818673,.030055683,-6.593985060258346,4.28175273015e-11,-.2570947817969061,-.1392786689591669,4046,l_ppi,5d,dr,17
Pre_avg,-.00082936388,.041659862,-.0199079844766835,.9841167757169584,-.0824811926169793,.0808224648528273,1720,l_workers,4d,ols,16
Post_avg,.26788568,.19150084,1.398874706607932,.1618505586279151,-.1074490694817004,.6432204394157824,1720,l_workers,4d,ols,16
